Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2016,11,28,12.2,1,Y
IDCJAC0011,086338,2016,11,29,10.4,1,Y
IDCJAC0011,086338,2016,11,30,13.3,1,Y
IDCJAC0011,086338,2016,12,01,12.9,1,Y
IDCJAC0011,086338,2016,12,02,13.0,1,Y
IDCJAC0011,086338,2016,12,03,9.9,1,Y
IDCJAC0011,086338,2016,12,04,12.7,1,Y
IDCJAC0011,086338,2016,12,05,16.9,1,Y
IDCJAC0011,086338,2016,12,06,12.8,1,Y
IDCJAC0011,086338,2016,12,07,10.5,1,Y
IDCJAC0011,086338,2016,12,08,15.4,1,Y
IDCJAC0011,086338,2016,12,09,10.0,1,Y
IDCJAC0011,086338,2016,12,10,11.2,1,Y
IDCJAC0011,086338,2016,12,11,12.9,1,Y
IDCJAC0011,086338,2016,12,12,10.7,1,Y
IDCJAC0011,086338,2016,12,13,16.5,1,Y
IDCJAC0011,086338,2016,12,14,15.7,1,Y
IDCJAC0011,086338,2016,12,15,11.7,1,Y
IDCJAC0011,086338,2016,12,16,9.7,1,Y
IDCJAC0011,086338,2016,12,17,15.1,1,Y
IDCJAC0011,086338,2016,12,18,10.0,1,Y
IDCJAC0011,086338,2016,12,19,8.8,1,Y
IDCJAC0011,086338,2016,12,20,14.4,1,Y
IDCJAC0011,086338,2016,12,21,13.5,1,Y
IDCJAC0011,086338,2016,12,22,14.6,1,Y
IDCJAC0011,086338,2016,12,23,12.5,1,Y
IDCJAC0011,086338,2016,12,24,16.2,1,Y
IDCJAC0011,086338,2016,12,25,16.4,1,Y
IDCJAC0011,086338,2016,12,26,25.4,1,Y
IDCJAC0011,086338,2016,12,27,18.0,1,Y
IDCJAC0011,086338,2016,12,28,20.3,1,Y
IDCJAC0011,086338,2016,12,29,27.0,1,Y
IDCJAC0011,086338,2016,12,30,20.1,1,Y
IDCJAC0011,086338,2016,12,31,17.3,1,Y
